NAME	TITLE	SCORE	
LMAN1		2.888246	
RPS27A		2.8874602	
ELOVL6		2.8860798	
RWDD1		2.8857276	
CDK4		2.8835483	
STRA6		2.8832295	
RDH11		2.8827698	
ORC1		2.8827596	
CHIA		2.8822627	
ARPC5L		2.8816307	
TMED1		2.8815272	
RPL39		2.880965	
SHCBP1		2.8795133	
NOP14		2.8791656	
PDIA4		2.8762774	
POLR1B		2.873371	
PSMA3		2.8726509	
ZNF296		2.8726184	
LHPP		2.8722472	
SNRNP25		2.8715801	
TOMM7		2.8711233	
CCDC47		2.8654122	
SRSF7		2.8652062	
TRIM14		2.8621895	
CDK2AP2		2.8580651	
DDIAS		2.8579643	
SEC23B		2.8572738	
SLC25A5		2.8562725	
GGH		2.8546238	
MYPOP		2.851708	
MRPL17		2.851164	
MORC4		2.8401034	
ATP5MG		2.8395388	
PAICS		2.8394027	
RPL27		2.8391256	
HSPA9		2.8386452	
EPHA7		2.8379102	
CTH		2.8377717	
MYB		2.8371289	
TKT		2.837107	
RFC1		2.8351667	
FAM89A		2.8321283	
PFN1		2.8315728	
CCNB2		2.8311613	
OPLAH		2.8310928	
CFL2		2.8309383	
ADI1		2.8295472	
POLE3		2.8278296	
CHAC2		2.827757	
BCAN		2.8273087	
PIM3		2.827065	
NCL		2.8262575	
MRPS33		2.824026	
ZFP91		2.822935	
EIF3K		2.8226564	
WDR72		2.821825	
HSBP1		2.8210683	
LMAN2		2.8198154	
CLN6		2.8196213	
G6PC3		2.8192666	
SUCLG1		2.818929	
HOOK1		2.8187602	
ARHGEF28		2.817486	
FBP1		2.81694	
COL2A1		2.8150885	
FBXO45		2.8136096	
TTN		2.813328	
CENPL		2.813196	
MALRD1		2.8079555	
MAK16		2.8065495	
FOS		2.806016	
NDUFB11		2.8059967	
HNRNPA2B1		2.805208	
TMEM258		2.8043933	
KCNQ1		2.8040943	
ATP5MC2		2.802163	
FAM241A		2.8021622	
LCMT2		2.8008277	
ZNF704		2.800485	
SLC1A4		2.799583	
G6PD		2.7993066	
CNBP		2.798868	
RPS16		2.7986016	
LINC01220		2.7962475	
PEBP1		2.795219	
EDC3		2.7944229	
SULT1A1		2.7943463	
RPS15		2.7925887	
CLCN5		2.7909102	
LONRF1		2.7890348	
PSMB4		2.788964	
XPOT		2.7874749	
ING5		2.7853644	
CKS1B		2.7846556	
EPHA3		2.7842202	
SNTA1		2.7813683	
CAMK2D		2.780689	
PELP1		2.7804167	
KIF15		2.7790248	
ZNF420		2.7788296	
CKAP2		2.7782319	
SNHG9		2.7761757	
GMPR2		2.775759	
CARNMT1		2.7755656	
SFTA3		2.7755466	
S100A14		2.7748353	
COX4I1		2.7730663	
CITED2		2.7725005	
COMT		2.7723563	
ANLN		2.771548	
EIF2B5		2.771164	
SNRPB2		2.7709484	
DNMT1		2.766831	
SFTPA1		2.7640858	
TCOF1		2.762795	
SPDL1		2.7622087	
RPS13		2.761933	
EPOP		2.761098	
SNRPE		2.760347	
THAP5		2.7575305	
CHAF1B		2.7540655	
PIM2		2.7539678	
NCOA4		2.7539134	
CAMK1D		2.7531867	
TFE3		2.752069	
PRDM11		2.750245	
DSCC1		2.749634	
ANOS1		2.7472444	
RFC5		2.7460752	
BDH1		2.7459807	
NUDT21		2.7453737	
PITPNM2		2.742397	
TEDC2		2.7416503	
RXYLT1		2.7416492	
NOC3L		2.7415261	
LSM4		2.741334	
URM1		2.7411323	
EIF1		2.739696	
IDE		2.7394974	
RPS11		2.7394166	
SRSF10		2.7387257	
PFKM		2.7386198	
ABCG1		2.7384725	
C2CD4A		2.7380953	
TNFRSF11B		2.7374518	
ANKRD18A		2.7368693	
RBP4		2.7361894	
AGR3		2.7355607	
SNRPD3		2.73431	
MRPL27		2.7331088	
QPRT		2.7323418	
PLA2G4F		2.7310593	
AHCY		2.7303529	
GMPS		2.730349	
USP27X		2.7296896	
DPH2		2.7294316	
DBF4		2.7291498	
CLSPN		2.728589	
NAMPT		2.7279458	
SGO1		2.727888	
HASPIN		2.7266278	
NR1D1		2.7259223	
ANAPC11		2.7255416	
SMCO4		2.7244892	
PRMT5		2.7236855	
FGA		2.7229981	
PLOD2		2.7228763	
COA4		2.7226756	
UNC13B		2.719573	
STAMBPL1		2.7194684	
NDC80		2.7177746	
MRPS27		2.717454	
PTRHD1		2.7162747	
C1QBP		2.7127366	
MRPL35		2.7118855	
CEP78		2.7113926	
FEZF1		2.7112715	
DPY19L2		2.7098866	
SCD		2.7093718	
PDS5B		2.7091906	
TIMM9		2.7080998	
RAB3IL1		2.7069125	
MIR200CHG		2.7044764	
ANP32A		2.7030234	
EGFL7		2.7029865	
CD63		2.7027605	
RPS9		2.7024562	
ATRAID		2.699647	
AHCYL1		2.698741	
DKC1		2.693633	
ZNF485		2.6927774	
BTG1		2.6927397	
USP21		2.6906812	
RAP1GAP		2.6904378	
TUSC1		2.6891813	
ALG6		2.6891017	
MEST		2.6882808	
PPIL1		2.6873424	
ITPR3		2.686133	
ACO2		2.6853354	
PROX1		2.6827314	
GRWD1		2.681491	
ALDH1A1		2.6780047	
RPA3		2.6774757	
GCNT3		2.6767433	
PRPS2		2.6764188	
SERBP1		2.6748598	
PPP5C		2.6741614	
TRIM2		2.6731067	
ERAP1		2.6716678	
CDK5RAP2		2.67161	
SERP1		2.6707053	
IER3IP1		2.6704545	
RPLP0		2.670256	
LMTK2		2.6692963	
OTOGL		2.6685212	
HIBADH		2.6680412	
EIF2S1		2.6680188	
PIGW		2.6672482	
CHCHD10		2.6646168	
EIF5A		2.6641672	
SNX30		2.663445	
DDX54		2.663341	
DOT1L		2.6631072	
DEPDC1B		2.6613965	
HDGF		2.6609383	
HSPB1		2.6597545	
PGAM5		2.6597416	
CENPB		2.6590528	
MSANTD4		2.6570878	
TIMM13		2.6565087	
GINS4		2.6558151	
TAF4B		2.6557882	
DHRS13		2.6555624	
SPIDR		2.6525216	
PTPN4		2.6519365	
CCR1		2.6500897	
CHRAC1		2.6498678	
PPP2R5A		2.648171	
SLC25A11		2.6433535	
CEBPD		2.641399	
CALCOCO2		2.6389241	
SCP2		2.636725	
SPCS1		2.6357038	
EGLN1		2.6355696	
CHAMP1		2.6355588	
GSPT2		2.634807	
PMF1		2.6338773	
METTL1		2.6328568	
RPS24		2.63026	
DLGAP5		2.6296043	
NBL1		2.6294167	
NAT10		2.6285777	
DTX3L		2.6279528	
KLHL8		2.6276755	
EXO1		2.6269124	
CACYBP		2.6264338	
MDN1		2.6261551	
RUVBL2		2.625647	
ERP29		2.6253889	
TTC39B		2.625023	
MRPL54		2.6247652	
HSPD1		2.6204903	
AIFM2		2.6200576	
HINT3		2.6196349	
NSA2		2.6193962	
RPL36AL		2.6176715	
ADCY7		2.6176176	
SSRP1		2.616725	
WDR46		2.6165447	
GNPNAT1		2.6164124	
SDF2L1		2.6163735	
EML4		2.6161997	
RPE		2.6137106	
RNF128		2.6131248	
LMNB2		2.6118197	
CDKN3		2.6113098	
RSL1D1		2.61058	
ITPR2		2.6102054	
KL		2.609381	
TADA2A		2.6077754	
CANX		2.6077123	
NEIL3		2.606942	
XRCC6		2.6067343	
TMX1		2.6064236	
OXNAD1		2.606354	
MNX1		2.6058753	
PREB		2.6045394	
LGALS9		2.60345	
ILF3		2.601111	
BUD13		2.6003172	
FANCG		2.5989864	
ZNF331		2.5989487	
SASS6		2.598858	
FUT9		2.5986602	
IQCB1		2.5985007	
MLX		2.5953176	
SLC39A1		2.5949242	
TRMT10A		2.5918381	
TGM2		2.5913162	
